Date_ID,Full_Date,Day,Day_Name,Month,Month_Name,Year
1,2005-01-01,1,Saturday,1,January,2005
2,2005-01-02,2,Sunday,1,January,2005
3,2005-01-03,3,Monday,1,January,2005
4,2005-01-04,4,Tuesday,1,January,2005
5,2005-01-05,5,Wednesday,1,January,2005
6,2005-01-06,6,Thursday,1,January,2005
7,2005-01-07,7,Friday,1,January,2005
8,2005-01-08,8,Saturday,1,January,2005
9,2005-01-09,9,Sunday,1,January,2005
10,2005-01-10,10,Monday,1,January,2005
11,2005-01-11,11,Tuesday,1,January,2005
12,2005-01-12,12,Wednesday,1,January,2005
13,2005-01-13,13,Thursday,1,January,2005
14,2005-01-14,14,Friday,1,January,2005
15,2005-01-15,15,Saturday,1,January,2005
16,2005-01-16,16,Sunday,1,January,2005
17,2005-01-17,17,Monday,1,January,2005
18,2005-01-18,18,Tuesday,1,January,2005
19,2005-01-19,19,Wednesday,1,January,2005
20,2005-01-20,20,Thursday,1,January,2005
21,2005-01-21,21,Friday,1,January,2005
22,2005-01-22,22,Saturday,1,January,2005
23,2005-01-23,23,Sunday,1,January,2005
24,2005-01-24,24,Monday,1,January,2005
25,2005-01-25,25,Tuesday,1,January,2005
26,2005-01-26,26,Wednesday,1,January,2005
27,2005-01-27,27,Thursday,1,January,2005
28,2005-01-28,28,Friday,1,January,2005
29,2005-01-29,29,Saturday,1,January,2005
30,2005-01-30,30,Sunday,1,January,2005
31,2005-01-31,31,Monday,1,January,2005
32,2005-02-01,1,Tuesday,2,February,2005
33,2005-02-02,2,Wednesday,2,February,2005
34,2005-02-03,3,Thursday,2,February,2005
35,2005-02-04,4,Friday,2,February,2005
36,2005-02-05,5,Saturday,2,February,2005
37,2005-02-06,6,Sunday,2,February,2005
38,2005-02-07,7,Monday,2,February,2005
39,2005-02-08,8,Tuesday,2,February,2005
40,2005-02-09,9,Wednesday,2,February,2005
41,2005-02-10,10,Thursday,2,February,2005
42,2005-02-11,11,Friday,2,February,2005
43,2005-02-12,12,Saturday,2,February,2005
44,2005-02-13,13,Sunday,2,February,2005
45,2005-02-14,14,Monday,2,February,2005
46,2005-02-15,15,Tuesday,2,February,2005
47,2005-02-16,16,Wednesday,2,February,2005
48,2005-02-17,17,Thursday,2,February,2005
49,2005-02-18,18,Friday,2,February,2005
50,2005-02-19,19,Saturday,2,February,2005
51,2005-02-20,20,Sunday,2,February,2005
52,2005-02-21,21,Monday,2,February,2005
53,2005-02-22,22,Tuesday,2,February,2005
54,2005-02-23,23,Wednesday,2,February,2005
55,2005-02-24,24,Thursday,2,February,2005
56,2005-02-25,25,Friday,2,February,2005
57,2005-02-26,26,Saturday,2,February,2005
58,2005-02-27,27,Sunday,2,February,2005
59,2005-02-28,28,Monday,2,February,2005
60,2005-03-01,1,Tuesday,3,March,2005
61,2005-03-02,2,Wednesday,3,March,2005
62,2005-03-03,3,Thursday,3,March,2005
63,2005-03-04,4,Friday,3,March,2005
64,2005-03-05,5,Saturday,3,March,2005
65,2005-03-06,6,Sunday,3,March,2005
66,2005-03-07,7,Monday,3,March,2005
67,2005-03-08,8,Tuesday,3,March,2005
68,2005-03-09,9,Wednesday,3,March,2005
69,2005-03-10,10,Thursday,3,March,2005
70,2005-03-11,11,Friday,3,March,2005
71,2005-03-12,12,Saturday,3,March,2005
72,2005-03-13,13,Sunday,3,March,2005
73,2005-03-14,14,Monday,3,March,2005
74,2005-03-15,15,Tuesday,3,March,2005
75,2005-03-16,16,Wednesday,3,March,2005
76,2005-03-17,17,Thursday,3,March,2005
77,2005-03-18,18,Friday,3,March,2005
78,2005-03-19,19,Saturday,3,March,2005
79,2005-03-20,20,Sunday,3,March,2005
80,2005-03-21,21,Monday,3,March,2005
81,2005-03-22,22,Tuesday,3,March,2005
82,2005-03-23,23,Wednesday,3,March,2005
83,2005-03-24,24,Thursday,3,March,2005
84,2005-03-25,25,Friday,3,March,2005
85,2005-03-26,26,Saturday,3,March,2005
86,2005-03-27,27,Sunday,3,March,2005
87,2005-03-28,28,Monday,3,March,2005
88,2005-03-29,29,Tuesday,3,March,2005
89,2005-03-30,30,Wednesday,3,March,2005
90,2005-03-31,31,Thursday,3,March,2005
91,2005-04-01,1,Friday,4,April,2005
92,2005-04-02,2,Saturday,4,April,2005
93,2005-04-03,3,Sunday,4,April,2005
94,2005-04-04,4,Monday,4,April,2005
95,2005-04-05,5,Tuesday,4,April,2005
96,2005-04-06,6,Wednesday,4,April,2005
97,2005-04-07,7,Thursday,4,April,2005
98,2005-04-08,8,Friday,4,April,2005
99,2005-04-09,9,Saturday,4,April,2005
100,2005-04-10,10,Sunday,4,April,2005
